country,cases,date
Singapore,41833,2020-06-20
Singapore,42095,2020-06-21
Singapore,42313,2020-06-22
Singapore,42432,2020-06-23
Singapore,42623,2020-06-24
Singapore,42736,2020-06-25
Singapore,42955,2020-06-26
Singapore,43246,2020-06-27
Singapore,43459,2020-06-28
Singapore,43661,2020-06-29
Singapore,43907,2020-06-30
Singapore,44122,2020-07-01
Singapore,44310,2020-07-02
Singapore,44479,2020-07-03
Singapore,44664,2020-07-04
Singapore,44800,2020-07-05
Singapore,44983,2020-07-06
Singapore,45140,2020-07-07
Singapore,45298,2020-07-08
Singapore,45423,2020-07-09
Singapore,45614,2020-07-10
Singapore,45783,2020-07-11
Singapore,45961,2020-07-12
Singapore,46283,2020-07-13
Singapore,46630,2020-07-14
Singapore,46878,2020-07-15
Singapore,47126,2020-07-16
Singapore,47453,2020-07-17
Singapore,47655,2020-07-18
Singapore,47912,2020-07-19
Singapore,48035,2020-07-20
Singapore,48434,2020-07-21
Singapore,48744,2020-07-22
Singapore,49098,2020-07-23
Singapore,49375,2020-07-24
Singapore,49888,2020-07-25
Singapore,50369,2020-07-26
Singapore,50838,2020-07-27
Singapore,51197,2020-07-28
Singapore,51531,2020-07-29
Singapore,51809,2020-07-30
Singapore,52205,2020-07-31
Singapore,52512,2020-08-01
Singapore,52825,2020-08-02
Singapore,53051,2020-08-03
Singapore,53346,2020-08-04
Singapore,54254,2020-08-05
Singapore,54555,2020-08-06
Singapore,54797,2020-08-07
Singapore,54929,2020-08-08
Singapore,55104,2020-08-09
Singapore,55292,2020-08-10
Singapore,55353,2020-08-11
Singapore,55395,2020-08-12
Singapore,55497,2020-08-13
Singapore,55580,2020-08-14
Singapore,55661,2020-08-15
Singapore,55747,2020-08-16
Singapore,55838,2020-08-17
Singapore,55938,2020-08-18
Singapore,56031,2020-08-19
Singapore,56099,2020-08-20
Singapore,56216,2020-08-21
Singapore,56266,2020-08-22
Singapore,56353,2020-08-23
Singapore,56404,2020-08-24
Singapore,56435,2020-08-25
Singapore,56495,2020-08-26
Singapore,56572,2020-08-27
Singapore,56666,2020-08-28
Singapore,56717,2020-08-29
Singapore,56771,2020-08-30
Singapore,56812,2020-08-31
Singapore,56852,2020-09-01
Singapore,56860,2020-09-02
Singapore,56908,2020-09-03
Singapore,56948,2020-09-04
Singapore,56982,2020-09-05
Singapore,57022,2020-09-06
Singapore,57044,2020-09-07
Singapore,57091,2020-09-08
Singapore,57166,2020-09-09
Singapore,57229,2020-09-10
Singapore,57315,2020-09-11
Singapore,57357,2020-09-12
Singapore,57406,2020-09-13
Singapore,57454,2020-09-14
Singapore,57488,2020-09-15
Singapore,57514,2020-09-16
Singapore,57532,2020-09-17
Singapore,57543,2020-09-18
Singapore,57558,2020-09-19
Singapore,57576,2020-09-20
Singapore,57606,2020-09-21
Singapore,57627,2020-09-22
Singapore,57639,2020-09-23
Singapore,57654,2020-09-24
Singapore,57665,2020-09-25
Singapore,57685,2020-09-26
Singapore,57700,2020-09-27
Singapore,57715,2020-09-28
Singapore,57742,2020-09-29
Singapore,57765,2020-09-30
Singapore,57784,2020-10-01
Singapore,57794,2020-10-02
Singapore,57800,2020-10-03
Singapore,57812,2020-10-04
Singapore,57819,2020-10-05
Singapore,57830,2020-10-06
Singapore,57840,2020-10-07
Singapore,57849,2020-10-08
Singapore,57859,2020-10-09
Singapore,57866,2020-10-10
Singapore,57876,2020-10-11
Singapore,57880,2020-10-12
Singapore,57884,2020-10-13
Singapore,57889,2020-10-14
Singapore,57892,2020-10-15
Singapore,57901,2020-10-16
Singapore,57904,2020-10-17
Singapore,57911,2020-10-18
Singapore,57915,2020-10-19
Singapore,57921,2020-10-20
Singapore,57933,2020-10-21
Singapore,57941,2020-10-22
Singapore,57951,2020-10-23
Singapore,57965,2020-10-24
Singapore,57970,2020-10-25
Singapore,57973,2020-10-26
Singapore,57980,2020-10-27
Singapore,57987,2020-10-28
Singapore,57994,2020-10-29
Singapore,58003,2020-10-30
Singapore,58015,2020-10-31
Singapore,58019,2020-11-01
Singapore,58020,2020-11-02
Singapore,58029,2020-11-03
Singapore,58036,2020-11-04
Singapore,58043,2020-11-05
Singapore,58047,2020-11-06
Singapore,58054,2020-11-07
Singapore,58056,2020-11-08
Singapore,58064,2020-11-09
Singapore,58073,2020-11-10
Singapore,58091,2020-11-11
Singapore,58102,2020-11-12
Singapore,58114,2020-11-13
Singapore,58116,2020-11-14
Singapore,58119,2020-11-15
Singapore,58124,2020-11-16
Singapore,58130,2020-11-17
Singapore,58135,2020-11-18
Singapore,58139,2020-11-19
Singapore,58143,2020-11-20
Singapore,58148,2020-11-21
Singapore,58160,2020-11-22
Singapore,58165,2020-11-23
Singapore,58183,2020-11-24
Singapore,58190,2020-11-25
Singapore,58195,2020-11-26
Singapore,58199,2020-11-27
Singapore,58205,2020-11-28
Singapore,58213,2020-11-29
Singapore,58218,2020-11-30
Singapore,58228,2020-12-01
Singapore,58230,2020-12-02
Singapore,58239,2020-12-03
Singapore,58242,2020-12-04
Singapore,58255,2020-12-05
Singapore,58260,2020-12-06
Singapore,58273,2020-12-07
Singapore,58285,2020-12-08
Singapore,58291,2020-12-09
Singapore,58297,2020-12-10
Singapore,58305,2020-12-11
Singapore,58313,2020-12-12
Singapore,58320,2020-12-13
Singapore,58325,2020-12-14
Singapore,58341,2020-12-15
Singapore,58353,2020-12-16
Singapore,58377,2020-12-17
Singapore,58386,2020-12-18
Singapore,58403,2020-12-19
Singapore,58422,2020-12-20
Singapore,58432,2020-12-21
Singapore,58461,2020-12-22
Singapore,58482,2020-12-23
Singapore,58495,2020-12-24
Singapore,58509,2020-12-25
Singapore,58519,2020-12-26
Singapore,58524,2020-12-27
Singapore,58529,2020-12-28
Singapore,58542,2020-12-29
Singapore,58569,2020-12-30
Singapore,58599,2020-12-31
Singapore,58629,2021-01-01
Singapore,58662,2021-01-02
Singapore,58697,2021-01-03
Singapore,58721,2021-01-04
Singapore,58749,2021-01-05
Singapore,58780,2021-01-06
Singapore,58813,2021-01-07
Singapore,58836,2021-01-08
Singapore,58865,2021-01-09
Singapore,58907,2021-01-10
Singapore,58929,2021-01-11
Singapore,58946,2021-01-12
Singapore,58984,2021-01-13
Singapore,59029,2021-01-14
Singapore,59059,2021-01-15
Singapore,59083,2021-01-16
Singapore,59113,2021-01-17
Singapore,59127,2021-01-18
Singapore,59157,2021-01-19
Singapore,59197,2021-01-20
Singapore,59235,2021-01-21
Singapore,59250,2021-01-22
Singapore,59260,2021-01-23
Singapore,59308,2021-01-24
Singapore,59352,2021-01-25
Singapore,59366,2021-01-26
Singapore,59391,2021-01-27
Singapore,59425,2021-01-28
Singapore,59449,2021-01-29
Singapore,59507,2021-01-30
Singapore,59536,2021-01-31
Singapore,59565,2021-02-01
Singapore,59584,2021-02-02
Singapore,59602,2021-02-03
Singapore,59624,2021-02-04
Singapore,59649,2021-02-05
Singapore,59675,2021-02-06
Singapore,59699,2021-02-07
Singapore,59721,2021-02-08
Singapore,59732,2021-02-09
Singapore,59747,2021-02-10
Singapore,59759,2021-02-11
Singapore,59777,2021-02-12
Singapore,59786,2021-02-13
Singapore,59800,2021-02-14
Singapore,59809,2021-02-15
Singapore,59810,2021-02-16
Singapore,59821,2021-02-17
Singapore,59832,2021-02-18
Singapore,59846,2021-02-19
Singapore,59858,2021-02-20
Singapore,59869,2021-02-21
Singapore,59879,2021-02-22
Singapore,59883,2021-02-23
Singapore,59890,2021-02-24
Singapore,59900,2021-02-25
Singapore,59913,2021-02-26
Singapore,59925,2021-02-27
Singapore,59936,2021-02-28
Singapore,59948,2021-03-01
Singapore,59956,2021-03-02
Singapore,59979,2021-03-03
Singapore,59998,2021-03-04
Singapore,60007,2021-03-05
Singapore,60020,2021-03-06
Singapore,60033,2021-03-07
Singapore,60046,2021-03-08
Singapore,60052,2021-03-09
Singapore,60062,2021-03-10
Singapore,60070,2021-03-11
Singapore,60080,2021-03-12
Singapore,60088,2021-03-13
Singapore,60105,2021-03-14
Singapore,60117,2021-03-15
Singapore,60128,2021-03-16
Singapore,60137,2021-03-17
Singapore,60152,2021-03-18
Singapore,60167,2021-03-19
Singapore,60184,2021-03-20
Singapore,60196,2021-03-21
Singapore,60208,2021-03-22
Singapore,60221,2021-03-23
Singapore,60236,2021-03-24
Singapore,60253,2021-03-25
Singapore,60265,2021-03-26
Singapore,60288,2021-03-27
Singapore,60300,2021-03-28
Singapore,60321,2021-03-29
Singapore,60347,2021-03-30
Singapore,60381,2021-03-31
Singapore,60407,2021-04-01
Singapore,60450,2021-04-02
Singapore,60468,2021-04-03
Singapore,60478,2021-04-04
Singapore,60495,2021-04-05
Singapore,60519,2021-04-06
Singapore,60554,2021-04-07
Singapore,60575,2021-04-08
Singapore,60601,2021-04-09
Singapore,60633,2021-04-10
Singapore,60653,2021-04-11
Singapore,60678,2021-04-12
Singapore,60692,2021-04-13
Singapore,60719,2021-04-14
Singapore,60735,2021-04-15
Singapore,60769,2021-04-16
Singapore,60808,2021-04-17
Singapore,60831,2021-04-18
Singapore,60851,2021-04-19
Singapore,60865,2021-04-20
Singapore,60880,2021-04-21
Singapore,60904,2021-04-22
Singapore,60943,2021-04-23
Singapore,60966,2021-04-24
Singapore,61006,2021-04-25
Singapore,61051,2021-04-26
Singapore,61063,2021-04-27
Singapore,61086,2021-04-28
Singapore,61121,2021-04-29
Singapore,61145,2021-04-30
Singapore,61179,2021-05-01
Singapore,61218,2021-05-02
Singapore,61235,2021-05-03
Singapore,61252,2021-05-04
Singapore,61268,2021-05-05
Singapore,61286,2021-05-06
Singapore,61311,2021-05-07
Singapore,61331,2021-05-08
Singapore,61359,2021-05-09
Singapore,61378,2021-05-10
Singapore,61403,2021-05-11
Singapore,61419,2021-05-12
Singapore,61453,2021-05-13
Singapore,61505,2021-05-14
Singapore,61536,2021-05-15
Singapore,61585,2021-05-16
Singapore,61613,2021-05-17
Singapore,61651,2021-05-18
Singapore,61689,2021-05-19
Singapore,61730,2021-05-20
Singapore,61770,2021-05-21
Singapore,61799,2021-05-22
Singapore,61824,2021-05-23
Singapore,61860,2021-05-24
Singapore,61890,2021-05-25
Singapore,61916,2021-05-26
Singapore,61940,2021-05-27
Singapore,61970,2021-05-28
Singapore,62003,2021-05-29
Singapore,62028,2021-05-30
Singapore,62051,2021-05-31
Singapore,62069,2021-06-01
Singapore,62100,2021-06-02
Singapore,62145,2021-06-03
Singapore,62158,2021-06-04
Singapore,62176,2021-06-05
Singapore,62196,2021-06-06
Singapore,62210,2021-06-07
Singapore,62219,2021-06-08
Singapore,62223,2021-06-09
Singapore,62236,2021-06-10
Singapore,62245,2021-06-11
Singapore,62263,2021-06-12
Singapore,62276,2021-06-13
Singapore,62301,2021-06-14
Singapore,62315,2021-06-15
Singapore,62339,2021-06-16
Singapore,62366,2021-06-17
Singapore,62382,2021-06-18
Singapore,62403,2021-06-19
Singapore,62414,2021-06-20
Singapore,62430,2021-06-21
Singapore,62448,2021-06-22
Singapore,62470,2021-06-23
Singapore,62493,2021-06-24
Singapore,62513,2021-06-25
Singapore,62530,2021-06-26
Singapore,62544,2021-06-27
Singapore,62553,2021-06-28
Singapore,62563,2021-06-29
Singapore,62579,2021-06-30
Singapore,62589,2021-07-01
Singapore,62599,2021-07-02
Singapore,62606,2021-07-03
Singapore,62617,2021-07-04
Singapore,62630,2021-07-05
Singapore,62640,2021-07-06
Singapore,62652,2021-07-07
Singapore,62668,2021-07-08
Singapore,62678,2021-07-09
Singapore,62684,2021-07-10
Singapore,62692,2021-07-11
Singapore,62718,2021-07-12
Singapore,62744,2021-07-13
Singapore,62804,2021-07-14
Singapore,62852,2021-07-15
Singapore,62913,2021-07-16
Singapore,62981,2021-07-17
Singapore,63073,2021-07-18
Singapore,63245,2021-07-19
Singapore,63440,2021-07-20
Singapore,63621,2021-07-21
Singapore,63791,2021-07-22
Singapore,63924,2021-07-23
Singapore,64054,2021-07-24
Singapore,64179,2021-07-25
Singapore,64314,2021-07-26
Singapore,64453,2021-07-27
Singapore,64589,2021-07-28
Singapore,64722,2021-07-29
Singapore,64861,2021-07-30
Singapore,64981,2021-07-31
Singapore,65102,2021-08-01
Singapore,65213,2021-08-02
Singapore,65315,2021-08-03
Singapore,65410,2021-08-04
Singapore,65508,2021-08-05
Singapore,65605,2021-08-06
Singapore,65686,2021-08-07
Singapore,65764,2021-08-08
Singapore,65836,2021-08-09
Singapore,65836,2021-08-10
Singapore,65953,2021-08-11
Singapore,66012,2021-08-12
Singapore,66061,2021-08-13
Singapore,66119,2021-08-14
Singapore,66172,2021-08-15
Singapore,66225,2021-08-16
Singapore,66281,2021-08-17
Singapore,66334,2021-08-18
Singapore,66366,2021-08-19
Singapore,66406,2021-08-20
Singapore,66443,2021-08-21
Singapore,66478,2021-08-22
Singapore,66576,2021-08-23
Singapore,66692,2021-08-24
Singapore,66812,2021-08-25
Singapore,66928,2021-08-26
Singapore,66928,2021-08-27
Singapore,67171,2021-08-28
Singapore,67171,2021-08-29
Singapore,67459,2021-08-30
Singapore,67620,2021-08-31
Singapore,67800,2021-09-01
Singapore,67991,2021-09-02
Singapore,68210,2021-09-03
Singapore,68469,2021-09-04
Singapore,68660,2021-09-05
Singapore,68901,2021-09-06
Singapore,69233,2021-09-07
Singapore,69582,2021-09-08
Singapore,70039,2021-09-09
Singapore,70612,2021-09-10
Singapore,71167,2021-09-11
Singapore,71687,2021-09-12
Singapore,72294,2021-09-13
Singapore,73131,2021-09-14
Singapore,73938,2021-09-15
Singapore,74848,2021-09-16
Singapore,75783,2021-09-17
Singapore,76792,2021-09-18
Singapore,77804,2021-09-19
Singapore,78721,2021-09-20
Singapore,79899,2021-09-21
Singapore,81356,2021-09-22
Singapore,82860,2021-09-23
Singapore,84510,2021-09-24
Singapore,85953,2021-09-25
Singapore,87892,2021-09-26
Singapore,89539,2021-09-27
Singapore,91775,2021-09-28
Singapore,94043,2021-09-29
Singapore,96521,2021-09-30
Singapore,99430,2021-10-01
Singapore,101786,2021-10-02
Singapore,103843,2021-10-03
Singapore,106318,2021-10-04
Singapore,109804,2021-10-05
Singapore,113381,2021-10-06
Singapore,116864,2021-10-07
Singapore,120454,2021-10-08
Singapore,124157,2021-10-09
Singapore,126966,2021-10-10
Singapore,129229,2021-10-11
Singapore,132205,2021-10-12
Singapore,135395,2021-10-13
Singapore,138327,2021-10-14
Singapore,141772,2021-10-15
Singapore,145120,2021-10-16
Singapore,148178,2021-10-17
Singapore,150731,2021-10-18
Singapore,154725,2021-10-19
Singapore,158587,2021-10-20
Singapore,162026,2021-10-21
Singapore,165663,2021-10-22
Singapore,169261,2021-10-23
Singapore,172644,2021-10-24
Singapore,175818,2021-10-25
Singapore,179095,2021-10-26
Singapore,184419,2021-10-27
Singapore,187851,2021-10-28
Singapore,192099,2021-10-29
Singapore,195211,2021-10-30
Singapore,198374,2021-10-31
Singapore,200844,2021-11-01
Singapore,204340,2021-11-02
Singapore,207975,2021-11-03
Singapore,210978,2021-11-04
Singapore,212745,2021-11-05
Singapore,215780,2021-11-06
Singapore,218333,2021-11-07
Singapore,220803,2021-11-08
Singapore,224200,2021-11-09
Singapore,227681,2021-11-10
Singapore,230077,2021-11-11
Singapore,233176,2021-11-12
Singapore,235480,2021-11-13
Singapore,237203,2021-11-14
Singapore,239272,2021-11-15
Singapore,241341,2021-11-16
Singapore,244815,2021-11-17
Singapore,244815,2021-11-18
Singapore,248587,2021-11-19
Singapore,250518,2021-11-20
Singapore,252188,2021-11-21
Singapore,253649,2021-11-22
Singapore,255431,2021-11-23
Singapore,257510,2021-11-24
Singapore,258785,2021-11-25
Singapore,259875,2021-11-26
Singapore,261636,2021-11-27
Singapore,262383,2021-11-28
Singapore,263486,2021-11-29
Singapore,264725,2021-11-30
Singapore,266049,2021-12-01
Singapore,267150,2021-12-02
Singapore,267916,2021-12-03
Singapore,268659,2021-12-04
Singapore,269211,2021-12-05
Singapore,269873,2021-12-06
Singapore,270588,2021-12-07
Singapore,271297,2021-12-08
Singapore,271979,2021-12-09
Singapore,272433,2021-12-10
Singapore,272992,2021-12-11
Singapore,273362,2021-12-12
Singapore,273701,2021-12-13
Singapore,274143,2021-12-14
Singapore,274617,2021-12-15
Singapore,274972,2021-12-16
Singapore,275384,2021-12-17
Singapore,275655,2021-12-18
Singapore,275910,2021-12-19
Singapore,276105,2021-12-20
Singapore,276385,2021-12-21
Singapore,276720,2021-12-22
Singapore,277042,2021-12-23
Singapore,277307,2021-12-24
Singapore,277555,2021-12-25
Singapore,277764,2021-12-26
Singapore,278044,2021-12-27
Singapore,278409,2021-12-28
Singapore,278750,2021-12-29
Singapore,279061,2021-12-30
Singapore,279405,2021-12-31
Singapore,279861,2022-01-01
